# session 2025-07-06 14:43:19.193218  device=sdaa
step 001  loss: 7.380151
step 002  loss: 8.932926
step 003  loss: 7.536082
step 004  loss: 9.323748
step 005  loss: 8.771026
step 006  loss: 9.455536
step 007  loss: 11.013571
step 008  loss: 12.666701
step 009  loss: 10.582441
step 010  loss: 11.883706
step 011  loss: 12.011320
step 012  loss: 12.008959
step 013  loss: 10.524324
step 014  loss: 9.155691
step 015  loss: 8.468899
step 016  loss: 8.510464
step 017  loss: 9.289994
step 018  loss: 8.737263
step 019  loss: 9.087358
step 020  loss: 10.102300
step 021  loss: 10.534220
step 022  loss: 9.252388
step 023  loss: 10.431152
step 024  loss: 9.669145
step 025  loss: 8.204494
step 026  loss: 10.818359
step 027  loss: 9.802105
step 028  loss: 10.558311
step 029  loss: 9.565019
step 030  loss: 9.652758
step 031  loss: 10.299767
step 032  loss: 8.379066
step 033  loss: 9.535110
step 034  loss: 9.269723
step 035  loss: 9.412787
step 036  loss: 9.511410
step 037  loss: 9.966231
step 038  loss: 8.674973
step 039  loss: 10.433867
step 040  loss: 8.385593
step 041  loss: 9.155889
step 042  loss: 9.076599
step 043  loss: 9.094912
step 044  loss: 9.567940
step 045  loss: 10.208387
step 046  loss: 10.221405
step 047  loss: 8.460543
step 048  loss: 9.191164
step 049  loss: 9.621785
step 050  loss: 9.542929
step 051  loss: 8.629587
step 052  loss: 8.881805
step 053  loss: 8.514085
step 054  loss: 8.601479
step 055  loss: 8.566299
step 056  loss: 8.907116
step 057  loss: 8.166896
step 058  loss: 8.863140
step 059  loss: 8.903998
step 060  loss: 8.956533
step 061  loss: 7.316987
step 062  loss: 8.419684
step 063  loss: 9.434271
step 064  loss: 7.415329
step 065  loss: 8.083957
step 066  loss: 7.886045
step 067  loss: 7.602949
step 068  loss: 9.049359
step 069  loss: 8.712195
step 070  loss: 8.888247
step 071  loss: 9.122920
step 072  loss: 7.794606
step 073  loss: 8.519756
step 074  loss: 7.680576
step 075  loss: 9.013422
step 076  loss: 7.071592
step 077  loss: 8.584318
step 078  loss: 8.271817
step 079  loss: 8.508617
step 080  loss: 7.976909
step 081  loss: 8.549934
step 082  loss: 8.249348
step 083  loss: 8.381236
step 084  loss: 8.532473
step 085  loss: 8.436251
step 086  loss: 7.804842
step 087  loss: 8.475772
step 088  loss: 8.106755
step 089  loss: 9.254328
step 090  loss: 9.415698
step 091  loss: 8.620096
step 092  loss: 7.372739
step 093  loss: 8.217710
step 094  loss: 8.647567
step 095  loss: 9.344876
step 096  loss: 8.209498
step 097  loss: 8.255437
step 098  loss: 8.834948
step 099  loss: 6.937992
step 100  loss: 8.027487
