# step,loss
1,1.612696
2,1.615911
3,1.610411
4,1.612443
5,1.616829
6,1.616065
7,1.613168
8,1.615918
9,1.617518
10,1.615838
11,1.613797
12,1.618557
13,1.612158
14,1.612681
15,1.615214
16,1.615848
17,1.612999
18,1.617297
19,1.614801
20,1.615307
21,1.612990
22,1.610565
23,1.613796
24,1.611424
25,1.612848
26,1.614480
27,1.611540
28,1.613373
29,1.613837
30,1.614937
31,1.616904
32,1.611091
33,1.611638
34,1.615289
35,1.610830
36,1.619971
37,1.615715
38,1.608703
39,1.611549
40,1.611723
41,1.616338
42,1.613042
43,1.614417
44,1.614371
45,1.613486
46,1.609779
47,1.611578
48,1.613190
49,1.617150
50,1.607894
51,1.613401
52,1.613383
53,1.611909
54,1.607274
55,1.619071
56,1.612786
57,1.615488
58,1.614179
59,1.613645
60,1.616541
61,1.617209
62,1.615237
63,1.613187
64,1.611213
65,1.615300
66,1.620781
67,1.615744
68,1.618329
69,1.612281
70,1.613415
71,1.618133
72,1.613803
73,1.612723
74,1.613951
75,1.609049
76,1.614456
77,1.616235
78,1.614946
79,1.614340
80,1.614922
81,1.616409
82,1.613884
83,1.613262
84,1.612510
85,1.613072
86,1.609231
87,1.613388
88,1.611394
89,1.615551
90,1.612993
91,1.613466
92,1.615329
93,1.612164
94,1.612430
95,1.610913
96,1.616107
97,1.613778
98,1.615720
99,1.611371
100,1.612401
