step,loss
1,7.127930
2,7.115723
3,7.205566
4,7.229980
5,7.048828
6,7.077637
7,7.098633
8,7.210938
9,7.175293
10,7.271973
11,7.168945
12,7.153320
13,7.216309
14,7.293945
15,7.239258
16,7.342773
17,7.016602
18,7.194336
19,7.321289
20,7.435547
21,7.333984
22,7.301270
23,7.061523
24,7.208496
25,7.270020
26,7.340820
27,7.435547
28,7.274414
29,7.193359
30,7.530762
31,7.362793
32,7.347168
33,7.083984
34,7.318359
35,7.153320
36,7.179688
37,7.369629
38,7.316895
39,7.366211
40,7.344727
41,7.458496
42,7.505371
43,7.430664
44,7.406738
45,7.249023
46,7.482910
47,7.319824
48,7.290039
49,7.418457
50,7.231445
51,7.358887
52,7.488281
53,7.378906
54,7.553223
55,7.271484
56,7.473145
57,7.422852
58,7.603027
59,7.438965
60,7.274902
61,7.695801
62,7.410645
63,7.284180
64,7.406250
65,7.319824
66,7.576660
67,7.404785
68,7.473633
69,7.621094
70,7.453613
71,7.475586
72,7.774414
73,7.795410
74,7.126465
75,7.510254
76,7.407715
77,7.729492
78,7.641113
79,7.595703
80,7.404297
81,7.542969
82,7.478516
83,7.847656
84,7.994629
85,7.838379
86,7.482910
87,7.410645
88,7.870117
89,7.542969
90,7.474121
91,7.593750
92,7.443359
93,7.775879
94,7.460938
95,7.871094
96,7.326172
97,7.805664
98,7.769531
99,7.958496
100,7.517578
