epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.25359,3.43321,6.41298,4.32456,0,0,0,0,3.99822,4.38207,4.15669,0.0973,0.0003,0.0003
2,16.4464,3.52633,6.30098,4.33269,0,0,0,0,3.99826,4.38186,4.15192,0.0936723,0.00067228,0.00067228
3,23.6609,3.6615,6.54451,4.35778,0,0,0,0,3.99524,4.38153,4.14721,0.0900129,0.00101288,0.00101288
4,30.6954,3.64428,6.35137,4.32039,0,0,0,0,3.99591,4.37785,4.14235,0.0863218,0.0013218,0.0013218
5,37.8094,3.72032,6.3705,4.3131,0,0,0,0,3.99463,4.37746,4.13793,0.082599,0.00159904,0.00159904
6,45.0991,3.6138,6.2836,4.30947,0,0,0,0,3.9942,4.37341,4.13461,0.0788446,0.0018446,0.0018446
7,52.2796,3.68609,6.10843,4.28795,0,0,0,0,3.99318,4.37442,4.13089,0.0750585,0.00205848,0.00205848
8,59.6043,3.67003,6.26938,4.28932,0,0,0,0,3.99353,4.37427,4.12808,0.0712407,0.00224068,0.00224068
9,66.7985,3.68931,6.24915,4.27584,0,0,0,0,3.99488,4.37297,4.1255,0.0673912,0.0023912,0.0023912
10,73.9405,3.64968,6.26923,4.25534,0,0,0,0,3.99292,4.37246,4.12378,0.06351,0.00251004,0.00251004
11,81.5614,3.77924,6.28201,4.25246,0,0,0,0,3.99336,4.37207,4.12239,0.0595972,0.0025972,0.0025972
12,88.7982,3.70606,6.19779,4.23439,0,0,0,0,3.99248,4.37164,4.12103,0.0556527,0.00265268,0.00265268
13,96.029,3.6659,6.12053,4.24334,0,0,0,0,3.99454,4.37254,4.11984,0.0516765,0.00267648,0.00267648
14,103.27,3.61287,6.09718,4.22067,0,0,0,0,3.99491,4.37347,4.11974,0.0476686,0.0026686,0.0026686
15,110.393,3.67713,6.06056,4.22402,0,0,0,0,3.99557,4.37377,4.11949,0.043629,0.00262904,0.00262904
16,117.513,3.63236,6.2397,4.24373,0,0,0,0,3.99616,4.37503,4.12039,0.0395578,0.0025578,0.0025578
17,124.843,3.55806,6.01291,4.20045,0,0,0,0,3.99997,4.37651,4.12094,0.0354549,0.00245488,0.00245488
18,132.206,3.62863,6.13369,4.19887,0,0,0,0,4.00201,4.37731,4.12221,0.0313203,0.00232028,0.00232028
19,139.382,3.6446,5.95205,4.18097,0,0,0,0,4.00172,4.37888,4.1229,0.027154,0.002154,0.002154
20,146.544,3.6599,5.98956,4.18078,0,0,0,0,4.00235,4.38274,4.12421,0.022956,0.00195604,0.00195604
21,153.915,3.7613,5.99978,4.17857,0,0,0,0,4.00317,4.38285,4.12702,0.0187264,0.0017264,0.0017264
22,161.33,3.63074,5.98152,4.17245,0,0,0,0,4.00217,4.38519,4.13159,0.0144651,0.00146508,0.00146508
23,168.605,3.61133,5.95035,4.18031,0,0,0,0,4.00706,4.38649,4.13492,0.0101721,0.00117208,0.00117208
24,175.831,3.59196,5.78131,4.16863,0,0,0,0,4.00307,4.38878,4.13762,0.0058474,0.0008474,0.0008474
25,183.38,3.60959,5.96625,4.16827,0,0,0,0,4.00579,4.38693,4.1405,0.00149104,0.00049104,0.00049104
