epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.80243,3.68636,6.44475,4.40999,0,0,0,0,4.00129,4.3836,4.16019,0.0973,0.0003,0.0003
2,13.4458,3.72823,6.38672,4.42458,0,0,0,0,3.99898,4.38338,4.159,0.0936723,0.00067228,0.00067228
3,19.1379,3.57754,6.19454,4.39065,0,0,0,0,3.99949,4.38196,4.15727,0.0900129,0.00101288,0.00101288
4,24.9095,3.5121,6.62533,4.46151,0,0,0,0,3.99852,4.38117,4.15481,0.0863218,0.0013218,0.0013218
5,30.8069,3.65932,6.30171,4.42468,0,0,0,0,3.99803,4.38014,4.1519,0.082599,0.00159904,0.00159904
6,36.6241,3.405,6.09847,4.31675,0,0,0,0,3.99906,4.37939,4.14953,0.0788446,0.0018446,0.0018446
7,42.3245,3.50825,6.03243,4.37285,0,0,0,0,3.99918,4.3775,4.14756,0.0750585,0.00205848,0.00205848
8,48.1707,3.65703,6.34583,4.37708,0,0,0,0,3.99779,4.37577,4.146,0.0712407,0.00224068,0.00224068
9,53.888,3.56137,6.03534,4.37364,0,0,0,0,3.99839,4.37552,4.14406,0.0673912,0.0023912,0.0023912
10,59.6526,3.70989,6.35571,4.38313,0,0,0,0,4.00012,4.37522,4.14263,0.06351,0.00251004,0.00251004
11,65.4641,3.56765,6.03438,4.3332,0,0,0,0,4.00066,4.37459,4.14119,0.0595972,0.0025972,0.0025972
12,71.465,3.6086,6.0095,4.34088,0,0,0,0,4.00148,4.37345,4.13976,0.0556527,0.00265268,0.00265268
13,77.245,3.7052,6.28256,4.3585,0,0,0,0,4.00109,4.374,4.13961,0.0516765,0.00267648,0.00267648
14,82.9848,3.45427,5.89677,4.29211,0,0,0,0,4.00366,4.37606,4.14043,0.0476686,0.0026686,0.0026686
15,88.7915,3.55787,6.24245,4.35446,0,0,0,0,4.0113,4.37647,4.14174,0.043629,0.00262904,0.00262904
16,94.6818,3.68183,5.90212,4.30657,0,0,0,0,4.01276,4.37747,4.14407,0.0395578,0.0025578,0.0025578
17,100.603,3.65558,6.34058,4.31494,0,0,0,0,4.01514,4.379,4.14669,0.0354549,0.00245488,0.00245488
18,106.36,3.62153,6.04825,4.2739,0,0,0,0,4.01552,4.38176,4.14939,0.0313203,0.00232028,0.00232028
19,112.285,3.62647,5.82725,4.26887,0,0,0,0,4.01446,4.38203,4.15127,0.027154,0.002154,0.002154
20,118.185,3.79444,5.86041,4.29856,0,0,0,0,4.01249,4.38224,4.15264,0.022956,0.00195604,0.00195604
21,124.101,3.47576,5.8716,4.28654,0,0,0,0,4.00686,4.38337,4.15247,0.0187264,0.0017264,0.0017264
22,130.083,3.42668,5.90995,4.26508,0,0,0,0,3.9998,4.38596,4.15313,0.0144651,0.00146508,0.00146508
23,135.994,3.52541,5.77864,4.25487,0,0,0,0,4.00273,4.38756,4.15478,0.0101721,0.00117208,0.00117208
24,141.974,3.59453,5.75616,4.24854,0,0,0,0,4.00881,4.38788,4.15681,0.0058474,0.0008474,0.0008474
25,147.909,3.55477,5.66598,4.25793,0,0,0,0,4.00826,4.38933,4.15952,0.00149104,0.00049104,0.00049104
