epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.56928,3.43114,6.41356,4.32227,0,0,0,0,3.99824,4.38212,4.1567,0.09703,3e-05,3e-05
2,16.6945,3.53727,6.26447,4.31159,0,0,0,0,3.99846,4.38121,4.15209,0.0930672,6.7228e-05,6.7228e-05
3,23.9689,3.69447,6.59408,4.35544,0,0,0,0,3.99522,4.37968,4.14677,0.0891013,0.000101288,0.000101288
4,31.401,3.64433,6.34751,4.34731,0,0,0,0,3.99593,4.37649,4.14159,0.0851322,0.00013218,0.00013218
5,38.8202,3.72246,6.42101,4.32476,0,0,0,0,3.99296,4.3762,4.137,0.0811599,0.000159904,0.000159904
6,46.4484,3.65228,6.38449,4.34152,0,0,0,0,3.99202,4.3743,4.13221,0.0771845,0.00018446,0.00018446
7,53.7748,3.71005,6.28139,4.31335,0,0,0,0,3.99131,4.37258,4.12827,0.0732058,0.000205848,0.000205848
8,61.3375,3.62364,6.35923,4.33053,0,0,0,0,3.99333,4.37189,4.12448,0.0692241,0.000224068,0.000224068
9,69.0832,3.67287,6.39676,4.31086,0,0,0,0,3.99214,4.36941,4.12135,0.0652391,0.00023912,0.00023912
10,76.8111,3.69444,6.50339,4.34241,0,0,0,0,3.9926,4.37033,4.11808,0.061251,0.000251004,0.000251004
11,84.6886,3.72328,6.47199,4.30685,0,0,0,0,3.99196,4.37071,4.11502,0.0572597,0.00025972,0.00025972
12,92.2677,3.72568,6.25882,4.31645,0,0,0,0,3.99154,4.36996,4.11197,0.0532653,0.000265268,0.000265268
13,99.8427,3.63004,6.32056,4.30068,0,0,0,0,3.99062,4.37002,4.11002,0.0492676,0.000267648,0.000267648
14,107.411,3.573,6.29986,4.29558,0,0,0,0,3.99191,4.36895,4.10827,0.0452669,0.00026686,0.00026686
15,115.025,3.72277,6.24265,4.30471,0,0,0,0,3.99501,4.37091,4.10725,0.0412629,0.000262904,0.000262904
16,122.624,3.63277,6.41476,4.33592,0,0,0,0,3.99512,4.37158,4.10651,0.0372558,0.00025578,0.00025578
17,130.327,3.4941,6.24564,4.29222,0,0,0,0,3.99859,4.37233,4.10573,0.0332455,0.000245488,0.000245488
18,137.855,3.60567,6.38552,4.2904,0,0,0,0,3.99825,4.37136,4.105,0.029232,0.000232028,0.000232028
19,145.389,3.61503,6.22079,4.28414,0,0,0,0,3.99936,4.3745,4.1042,0.0252154,0.0002154,0.0002154
20,152.909,3.71583,6.19477,4.26831,0,0,0,0,3.99999,4.37624,4.10374,0.0211956,0.000195604,0.000195604
21,160.496,3.75576,6.27449,4.29866,0,0,0,0,3.99848,4.37732,4.10439,0.0171726,0.00017264,0.00017264
22,168.12,3.60642,6.29,4.25803,0,0,0,0,3.99503,4.37893,4.10582,0.0131465,0.000146508,0.000146508
23,175.704,3.67963,6.22927,4.27855,0,0,0,0,3.99711,4.38087,4.10699,0.00911721,0.000117208,0.000117208
24,183.404,3.57277,6.08669,4.24645,0,0,0,0,3.99958,4.38198,4.10732,0.00508474,8.474e-05,8.474e-05
25,191.182,3.62524,6.29051,4.27369,0,0,0,0,4.001,4.38289,4.10743,0.0010491,4.9104e-05,4.9104e-05
